wemID,eventName
876477909,bga104_fishing_jumping_etf030
98292743,bga104_fishing_land {r}
591554025,bga104_fishing_land {r}
560408282,bga104_fishing_land {r}
708396833,bga104_fishing_return {r}
330101238,bga104_fishing_return {r}
106998021,bga104_fishing_return {r}
1038107586,bga104_fishing_throw {r}
255539577,bga104_fishing_throw {r}
170551494,bga104_fishing_throw {r}
510850328,bga104_fishing_throw {r}
911115074,bgb100-0006-event
857499458,BGM-3497-event
78026561,BGM_Battle_Start_Sub_072
1614677,BGM_Battle_Start_Sub_072
460053525,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=-)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Robo_A)(BGM_Sp_Vocal=-)(BGM_Vocal=-)(BGM_~0221
551841987,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=-)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Robo_A)(BGM_Sp_Vocal=-)(BGM_Vocal=-)(BGM_~0222
774538377,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=-)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Robo_B)(BGM_Sp_Vocal=-)(BGM_Vocal=-)(BGM_~0223
583343707,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=-)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Robo_B)(BGM_Sp_Vocal=-)(BGM_Vocal=-)(BGM_~0224
287519047,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=In)(BGM_Layer_Battle_B=-)(BGM_Sp_Vocal=-)(BGM_Vocal=-)(BGM_Lang~0232
23521609,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Adam_Intro_Off)(BGM_Sp_Vocal=-)(BGM_Voc~0228
23521609,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Adam_Intro_Off)(BGM_Sp_Vocal=-)(BGM_Voc~0229
39911828,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Adam_Intro_Off)(BGM_Sp_Vocal=-)(BGM_Voc~0230
39911828,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Adam_Intro_Off)(BGM_Sp_Vocal=-)(BGM_Voc~0231
32591196,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Intro_Off)(BGM_Sp_Vocal=-)(BGM_Vocal=-)~0227
261473148,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Normal)(BGM_Sp_Vocal=Off)(BGM_Vocal=Off~0225
32591196,BGM_Battle_Start_Sub_150 (BGM_IntroOff_Cansel=Off)(BGM_Hacking=Out)(BGM_Layer_Battle_B=Normal)(BGM_Sp_Vocal=Off)(BGM_Vocal=On)~0226
213163763,BGM_Battle_Start_Sub_540
503648204,BGM_Emil_Book_Start
85494430,BGM_GameCenter_In {r}
62401187,BGM_GameCenter_In {r}
15489494,BGM_GameCenter_In {r}
26863964,BGM_GameCenter_In {r}
64201243,BGM_GameCenter_In {r}
130539145,BGM_GameCenter_In {r}
12660104,BGM_GameCenter_In {r}
124229764,BGM_GameCenter_In {r}
287519047,BGM_GameCenter_In {r}
50968806,BGM_GameCenter_In {r}
357582989,BGM_GameCenter_In {r}
123022705,BGM_GameCenter_In {r}
13886675,BGM_GameCenter_In {r}
9775582,BGM_GameCenter_In {r}
34890193,BGM_GameCenter_In {r}
417758775,BGM_GameCenter_In {r}
1033002802,BGM_Hacking_In
696636054,BGM_Hacking_Out
